SYMBOL,YEAR,MIN,MAX,MEAN,STD_DEV
AVANTI,2012,95,205,140.0244,29.71415677
AVANTI,2014,249,1971,1072.19,572.5540271
AVAYAGCL,2010,190,299,236.381,21.44422709
AVENTIS,2010,1551,1993,1813.1912,104.7116097
AVENTIS,2011,1776,2351,2069.5587,167.9081938
AVENTIS,2012,2061,2332,2196.3206,71.0608026
AVTNPL,2010,82,140,101.456,12.61396306
AVTNPL,2011,98,479,245.3644,119.6041921
AVTNPL,2012,32,409,169.5709,153.7861246
AVTNPL,2014,20,54,34.838,10.63454199
AXIS-IT&T,2010,59,135,75.1429,14.24207621
AXIS-IT&T,2011,64,118,83.5746,12.47624628
AXIS-IT&T,2012,64,103,80.9954,7.568558923
AXIS-IT&T,2014,40,135,80.7442,28.43155226
AXISBANK,2010,973,1589,1283.2112,152.305729
